assigned_SWT,n_danger_multi,conversion,expected_season,lift,pval,sig_fdr
COL-D,23,0.30434782608695654,0.18460869565216947,1.648610456900652,0.183,False
WH-B,57,0.2982456140350877,0.22046491228070053,1.3528030875741133,0.183,False
EH-A,86,0.26744186046511625,0.20630813953488716,1.2963223897421228,0.174,False
FH-C,104,0.28846153846153844,0.22319230769230766,1.2924349474409789,0.104,False
COL-F,49,0.3673469387755102,0.2912653061224484,1.2612107623318412,0.262,False
WCT-A,78,0.3974358974358974,0.32812179487179394,1.211245042686623,0.179,False
AM-E,176,0.4034090909090909,0.33417897727272766,1.2071647779921943,0.023,False
COL-E,44,0.3181818181818182,0.26857954545454527,1.1846837317537557,0.506,False
EH-D,96,0.3125,0.27257291666666655,1.1464822104177022,0.396,False
AM-A,82,0.32926829268292684,0.28946341463414477,1.1375126390293289,0.46,False
FH-B,222,0.32432432432432434,0.2884707207207198,1.1242885361607144,0.224,False
WH-A,185,0.32972972972972975,0.3061621621621616,1.0769774011299456,0.479,False
COL-A,47,0.2978723404255319,0.2778723404255342,1.0719754977029008,0.855,False
TH-C,195,0.30256410256410254,0.2908025641025638,1.040445098886372,0.735,False
EH-C,80,0.1875,0.19437499999999977,0.964630225080387,0.982,False
AM-D,91,0.31868131868131866,0.3307252747252753,0.963583200425304,0.889,False
TH-B,177,0.2542372881355932,0.26515536723163996,0.9588238427528841,0.792,False
FH-A,140,0.2857142857142857,0.3018892857142849,0.9464207550071597,0.714,False
WH-D,112,0.2857142857142857,0.3026160714285709,0.9441477591243046,0.752,False
WH-C,112,0.26785714285714285,0.2870446428571433,0.9331549970450077,0.687,False
CH-A,143,0.17482517482517482,0.19076573426573462,0.9164390842940652,0.691,False
COL-B,61,0.22950819672131148,0.2840655737704929,0.8079409048938103,0.362,False
AM-B,156,0.26282051282051283,0.32538461538461494,0.8077226162332557,0.049,False
CH-B,63,0.20634920634920634,0.2587539682539681,0.7974726252185386,0.363,False
TH-A,120,0.20833333333333334,0.27540833333333387,0.7564525401676284,0.067,False
EH-B,79,0.21518987341772153,0.30768987341772164,0.6993726216188417,0.066,False
EH-E,140,0.16428571428571428,0.2470249999999999,0.6650570358697069,0.016,False
WCT-B,41,0.1951219512195122,0.2988414634146344,0.6529279738828805,0.139,False
AM-C,29,0.1724137931034483,0.3038965517241366,0.567343696811531,0.14,False
