assigned_SWT,n_days,obs,null_mean,excess,pval,sig_fdr
EH-B,313,1453.409239700181,1323.521055431393,129.88818426878788,0.0,True
AM-B,446,1447.2554235709165,1325.4987317619903,121.75669180892623,0.0,True
COL-D,126,1172.461140252127,1123.267958613945,49.19318163818207,0.438,False
AM-D,407,1353.2841205001757,1309.5708902240049,43.71323027617086,0.168,False
AM-C,371,1352.9036003354474,1311.9622402669352,40.94136006851227,0.202,False
FH-C,225,1120.191853027667,1079.4974468798264,40.69440614784071,0.366,False
FH-B,309,1089.158334898597,1048.6605316364576,40.49780326213954,0.254,False
EH-D,213,1053.610824420603,1013.1935012829936,40.4173231376094,0.338,False
COL-F,174,1122.8386227251067,1085.9550196908478,36.88360303425884,0.476,False
COL-B,167,1123.237151137838,1095.9034520671123,27.333699070725743,0.592,False
AM-E,460,1351.9831728242143,1325.330246990615,26.652925833599284,0.328,False
COL-E,218,1119.4116359656462,1104.3337443010353,15.077891664610888,0.716,False
EH-A,217,1125.6815005244614,1111.0324178783833,14.649082646078114,0.708,False
CH-B,313,1270.9596083873469,1257.2056520473118,13.753956340035074,0.684,False
WH-B,225,1121.1667481353786,1134.4194586841559,-13.252710548777259,0.77,False
EH-C,199,1118.6481931102346,1132.1216878570006,-13.473494746765937,0.778,False
AM-A,350,1294.428718846004,1309.2284313129635,-14.79971246695959,0.648,False
TH-B,273,1090.076349707326,1107.1299010555815,-17.053551348255496,0.652,False
COL-C,265,1264.032893059319,1283.9759339451682,-19.943040885849314,0.602,False
EH-E,250,1058.7302047144294,1079.1691715307797,-20.43896681635033,0.622,False
FH-A,218,1155.9703268992957,1176.6485855971073,-20.678258697811543,0.594,False
TH-A,375,1201.1563821736697,1223.3663981840753,-22.210016010405525,0.54,False
CH-A,255,1100.1164584448204,1141.0555724696774,-40.93911402485696,0.356,False
TH-C,338,1146.3774786349272,1189.416737046384,-43.039258411456785,0.222,False
WH-A,404,1173.9420402585433,1221.6391677538538,-47.6971274953105,0.182,False
WCT-A,178,1084.3976159569606,1163.8961480896282,-79.4985321326676,0.092,False
WCT-B,191,1061.7011724240417,1158.810100678682,-97.1089282546402,0.032,False
COL-A,124,951.205438591457,1059.937277344536,-108.73183875307893,0.04,False
WH-C,261,977.1760931967228,1089.0582592096443,-111.88216601292152,0.004,True
WH-D,240,941.0313457030945,1107.9528482759613,-166.92150257286676,0.0,True
